aisle_id,aisle
1,prepared soups salads
2,specialty cheeses
3,energy granola bars
4,instant foods
5,marinades meat preparation
6,other
7,packaged meat
8,bakery desserts
9,pasta sauce
10,kitchen supplies
11,cold flu allergy
12,fresh pasta
13,prepared meals
14,tofu meat alternatives
15,packaged seafood
16,fresh herbs
17,baking ingredients
18,bulk dried fruits vegetables
19,oils vinegars
20,oral hygiene
21,packaged cheese
22,hair care
23,popcorn jerky
24,fresh fruits
25,soap
26,coffee
27,beers coolers
28,red wines
29,honeys syrups nectars
30,latino foods
31,refrigerated
32,packaged produce
33,kosher foods
34,frozen meat seafood
35,poultry counter
36,butter
37,ice cream ice
38,frozen meals
39,seafood counter
40,dog food care
41,cat food care
42,frozen vegan vegetarian
43,buns rolls
44,eye ear care
45,candy chocolate
46,mint gum
47,vitamins supplements
48,breakfast bars pastries
49,packaged poultry
50,fruit vegetable snacks
